4.8,Легенды ночных стражей (2010)
4.8,Ледниковый период (2002)
4.8,Ледниковый период 2: Глобальное потепление (2006)
4.8,Ледниковый период 3: Эра динозавров (2009)
4.8,Лекарь: Ученик Авиценны (2014)
4.8,Лига выдающихся джентльменов (2003)
4.8,Линкольн для адвоката (2011)
4.8,Лицо со шрамом (1983)
4.8,Ловушка для родителей (1998)
4.8,Лучшее предложение (2013)
4.8,Лысый нянька: Спецзадание (2005)
4.8,Люди в черном (1997)
4.8,Люди в черном 2 (2002)
4.8,Люди в черном 3 (2012)
4.8,Мадагаскар 2 (2008)
4.8,Мальчик в девочке (2006)
4.8,Мальчик в полосатой пижаме (2008)
4.8,Мальчишник в Вегасе (2009)
4.8,Мальчишник в Вегасе 2: Из Вегаса в Бангкок (2011)
4.8,Марли и я (2008)
4.8,Маска (1994)
4.8,Матрица (1999)
4.8,Матрица 2: Перезагрузка (2003)
4.8,Матрица 3: Революция (2003)
4.8,Мачеха (1998)
4.8,Машина времени (2002)
4.8,Мегамозг (2010)
4.8,Медальон (2003)
4.8,Медвежатник (2001)
4.8,Между небом и землей (2005)
4.8,Меня зовут Кхан (2010)
4.8,Меняющие реальность (2011)
4.8,Меркурий в опасности (1998)
4.8,Миллионы Брюстера (1985)
4.8,Мисс Конгениальность (2000)
4.8,Мистер Крутой (1997)
4.8,Мистер Черч (2016)
4.8,Мистер и миссис Смит (2005)
4.8,Миф (2005)
4.8,Младенец на $30 000 000 (2006)
4.8,Мой ангел-хранитель (2009)
4.8,Мой домашний динозавр (2007)
4.8,Молчание ягнят (1990)
4.8,Монстр в Париже (2011)
4.8,Монстры на каникулах (2012)
4.8,Моя ужасная няня (2005)
4.8,Мулан (1998)
4.8,Мулен Руж (2001)
4.8,Мумия (1999)
4.8,Мумия 2: Мумия возвращается (2001)
4.8,Мы купили зоопарк (2012)
4.8,Мы – одна команда (2006)
4.8,Мышиная охота (1997)
4.8,На грани (1997)
4.8,На гребне волны (1991)
4.8,На крючке (2008)
4.8,Назад в будущее 2 (1989)
4.8,Наркоз (2007)
4.8,Нас приняли! (2006)
4.8,Национальная безопасность (2003)
4.8,Начало (2010)
4.8,Невезучие (2003)
4.8,Невозможное (2012)
4.8,Незваные гости (2005)
4.8,Неизвестный (2011)
4.8,Непокоренный (2009)
4.8,Неуправляемый (2010)
4.8,Нечто (1982)
4.8,Никогда не сдавайся (2008)
4.8,Новая полицейская история (2004)
4.8,Ноториус (2009)
4.8,Ночь в музее (2006)
4.8,Ночь в музее 2 (2009)
4.8,Няньки (1995)
4.8,Обитель зла (2002)
4.8,Обратная тяга (1991)
4.8,Ограбление на Бейкер-Стрит (2008)
4.8,Ограбление по-итальянски (2003)
4.8,Одарённая (2017)
4.8,Однажды в Вегасе (2008)
4.8,Опасные пассажиры поезда 123 (2009)
4.8,Оптом дешевле 2 (2005)
4.8,Оружейный барон (2005)
4.8,Ослепленный желаниями (2000)
4.8,Особо тяжкие преступления (2002)
4.8,Особое мнение (2002)
4.8,Остров (2005)
4.8,Остров проклятых (2010)
4.8,От заката до рассвета (1995)
4.8,Отпетые мошенники (1988)
4.8,Отпуск по обмену (2006)
4.8,Отступники (2006)
4.8,Охотники за привидениями (1984)
4.8,Охотники за привидениями 2 (1989)
4.8,Папе снова 17 (2009)
4.8,Паркер (2013)
4.8,Пароль Рыба-меч (2001)
4.8,Патриот (2000)
4.8,Патруль (2012)
4.8,Пеле: Рождение легенды (2016)
4.8,Переговорщик (1998)
4.8,Перелом (2007)
4.8,Перл Харбор (2001)
4.8,Пианист (2002)
4.8,Пиджак (2005)
4.8,Пингвины мистера Поппера (2011)
4.8,Пираты Карибского моря 2: Сундук мертвеца (2006)
4.8,Пираты Карибского моря 3: На краю Света (2007)
4.8,Пираты Карибского моря 4: На странных берегах (2011)
4.8,Пираты Карибского моря: Проклятие Черной жемчужины (2003)
4.8,Писатели свободы (2007)
4.8,Письма к Джульетте (2010)
4.8,План игры (2007)
4.8,Планета сокровищ (2002)
4.8,Плохие парни (1995)
4.8,Плохие парни 2 (2003)
4.8,По соображениям совести (2016)
4.8,Подмена (2008)
4.8,Поезд на Юму (2007)
4.8,Пожизненно (1999)
4.8,Пока ты спал (1995)
4.8,Покорители волн (2012)
4.8,Пол: Секретный материальчик (2011)
